Connecting to host knb-server-1098803, port 5201
[  5] local 10.136.173.75 port 49132 connected to 10.43.46.17 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.55 MBytes  63.3 Mbits/sec    0    365 KBytes       (omitted)
[  5]   0.00-1.00   sec  5.68 MBytes  47.6 Mbits/sec    1    604 KBytes       
[  5]   1.00-2.00   sec  18.2 MBytes   152 Mbits/sec    0   1.43 MBytes       
[  5]   2.00-3.00   sec  12.5 MBytes   105 Mbits/sec    0   2.07 MBytes       
[  5]   3.00-4.00   sec  1.25 MBytes  10.5 Mbits/sec    1   2.19 MBytes       
[  5]   4.00-5.00   sec  20.0 MBytes   168 Mbits/sec    2   2.29 MBytes       
[  5]   5.00-6.00   sec  8.75 MBytes  73.4 Mbits/sec  181   1.56 MBytes       
[  5]   6.00-7.00   sec  7.50 MBytes  62.9 Mbits/sec    0   1.56 MBytes       
[  5]   7.00-8.00   sec  11.2 MBytes  94.4 Mbits/sec    0   1.57 MBytes       
[  5]   8.00-9.00   sec  17.5 MBytes   147 Mbits/sec    0   1.57 MBytes       
[  5]   9.00-10.00  sec  15.0 MBytes   126 Mbits/sec    0   1.59 MBytes       
[  5]  10.00-11.00  sec  20.0 MBytes   168 Mbits/sec    0   1.62 MBytes       
[  5]  11.00-12.00  sec  18.8 MBytes   157 Mbits/sec    0   1.66 MBytes       
[  5]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.68 MBytes       
[  5]  13.00-14.00  sec  11.2 MBytes  94.5 Mbits/sec    0   1.78 MBytes       
[  5]  14.00-15.00  sec  17.5 MBytes   147 Mbits/sec    0   1.90 MBytes       
[  5]  15.00-16.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.98 MBytes       
[  5]  16.00-17.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.15 MBytes       
[  5]  17.00-18.00  sec  20.0 MBytes   168 Mbits/sec    0   2.35 MBytes       
[  5]  18.00-19.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.46 MBytes       
[  5]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    1   2.46 MBytes       
[  5]  20.00-21.00  sec  1.23 MBytes  10.3 Mbits/sec    0   2.58 MBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.76 MBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.91 MBytes       
[  5]  23.00-24.00  sec  25.0 MBytes   210 Mbits/sec    0   3.12 MBytes       
[  5]  24.00-25.00  sec  8.75 MBytes  73.4 Mbits/sec    2   3.12 MBytes       
[  5]  25.00-26.00  sec  16.2 MBytes   136 Mbits/sec    0   3.12 MBytes       
[  5]  26.00-27.00  sec  16.2 MBytes   136 Mbits/sec    0   3.12 MBytes       
[  5]  27.00-28.00  sec  8.75 MBytes  73.4 Mbits/sec    0   3.12 MBytes       
[  5]  28.00-29.00  sec  12.5 MBytes   105 Mbits/sec    0   3.12 MBytes       
[  5]  29.00-30.00  sec  16.2 MBytes   136 Mbits/sec    0   3.12 MBytes       
[  5]  30.00-31.00  sec  10.0 MBytes  83.9 Mbits/sec    2   2.93 MBytes       
[  5]  31.00-32.00  sec  3.75 MBytes  31.5 Mbits/sec   61   2.13 MBytes       
[  5]  32.00-33.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.13 MBytes       
[  5]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.13 MBytes       
[  5]  34.00-35.00  sec  6.25 MBytes  52.5 Mbits/sec    0   2.15 MBytes       
[  5]  35.00-36.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.17 MBytes       
[  5]  36.00-37.00  sec  5.00 MBytes  41.9 Mbits/sec   14   1.53 MBytes       
[  5]  37.00-38.00  sec  11.2 MBytes  94.3 Mbits/sec    0   1.65 MBytes       
[  5]  38.00-39.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.80 MBytes       
[  5]  39.00-40.00  sec  13.8 MBytes   115 Mbits/sec    0   1.91 MBytes       
[  5]  40.00-41.00  sec  17.5 MBytes   147 Mbits/sec    0   2.00 MBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.04 MBytes       
[  5]  42.00-43.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.08 MBytes       
[  5]  43.00-44.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.12 MBytes       
[  5]  44.00-45.00  sec  5.00 MBytes  42.0 Mbits/sec    0   2.15 MBytes       
[  5]  45.00-46.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.17 MBytes       
[  5]  46.00-47.00  sec  8.75 MBytes  73.4 Mbits/sec    0   2.17 MBytes       
[  5]  47.00-48.00  sec  7.50 MBytes  62.9 Mbits/sec    0   2.17 MBytes       
[  5]  48.00-49.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.17 MBytes       
[  5]  49.00-50.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.18 MBytes       
[  5]  50.00-51.00  sec  13.8 MBytes   115 Mbits/sec    0   2.18 MBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.19 MBytes       
[  5]  52.00-53.00  sec  6.25 MBytes  52.5 Mbits/sec    0   2.22 MBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.24 MBytes       
[  5]  54.00-55.00  sec  12.5 MBytes   105 Mbits/sec    0   2.30 MBytes       
[  5]  55.00-56.00  sec  15.0 MBytes   126 Mbits/sec    0   2.36 MBytes       
[  5]  56.00-57.00  sec  12.5 MBytes   105 Mbits/sec    0   2.46 MBytes       
[  5]  57.00-58.00  sec  13.8 MBytes   115 Mbits/sec    0   2.58 MBytes       
[  5]  58.00-59.00  sec  15.0 MBytes   126 Mbits/sec    0   2.72 MBytes       
[  5]  59.00-60.00  sec  13.8 MBytes   115 Mbits/sec    0   2.89 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   605 MBytes  84.6 Mbits/sec  265             sender
[  5]   0.00-60.32  sec   605 MBytes  84.2 Mbits/sec                  receiver

iperf Done.
